INVOICE NO,Kode Cust,Jatuh_Tempo (TOP),Aktual_TOP_DAYS,Prediksi_TOP_DAYS,Prediksi_Tanggal_Bayar
178/25/11/437/XRM1,90289,2025-12-04,1,1,2025-12-05
044341/25/SBY,35366,2025-11-30,-1,-1,2025-11-29
039017/25/SBY,52273,2025-10-23,0,0,2025-10-23
000159/26/SBY,102359,2026-01-01,1,5,2026-01-06
037179/25/SBY,94505,2025-10-11,2,2,2025-10-13
979/25/09/298/X,17172,2025-10-28,4,3,2025-10-31
128/25/08/658/X,104,2025-12-07,-2,-2,2025-12-05
038955/25/SBY,3862,2025-10-29,0,0,2025-10-29
901/25/09/698/X,104236,2025-09-14,-2,0,2025-09-14
573/25/11/221/X,3862,2025-12-23,0,0,2025-12-23
000327/25/PAL,66321,2026-01-04,2,1,2026-01-05
383/25/09/361/VA,13184,2025-10-07,4,0,2025-10-07
036945/25/JKT,45513,2025-11-14,0,0,2025-11-14
030267/25/SBY,42357,2025-09-10,0,-1,2025-09-09
626/25/12/391/VY,34911,2026-01-13,-18,-24,2025-12-20
003653/26/SBY,52016,2026-02-15,3,1,2026-02-16
002045/25/SMG,32284,2025-09-09,0,0,2025-09-09
033895/25/SBY,66321,2025-09-26,0,2,2025-09-28
002213/26/SBY,48352,2026-01-27,-1,0,2026-01-27
032109/25/SBY,86960,2025-09-02,4,2,2025-09-04
917/25/09/203/X,104,2026-01-11,8,5,2026-01-16
548/25/08/046/X,42357,2025-10-02,-1,1,2025-10-03
359/25/07/710/X,106633,2025-09-08,0,0,2025-09-08
882/25/10/645/XRM1,108251,2025-11-14,-23,-20,2025-10-25
032780/25/JKT,54692,2025-11-11,149,207,2026-06-06
668/25/11/225/VZRM1,108251,2025-12-18,0,0,2025-12-18
684/25/12/767/X,90289,2026-01-20,-1,-1,2026-01-19
044935/25/SBY,52016,2025-12-11,0,-2,2025-12-09
531/25/12/547/X,5041,2026-01-17,4,9,2026-01-26
340/25/12/178/VX,79700,2026-01-23,0,0,2026-01-23
000242/26/MKS,72188,2026-01-25,1,1,2026-01-26
101/25/09/735/XLIV,104,2026-01-07,0,-1,2026-01-06
004655/25/MKS,12824,2025-11-20,-5,-1,2025-11-19
061/25/09/769/X,3862,2025-10-25,0,0,2025-10-25
861/25/11/017/X,16622,2025-12-19,0,0,2025-12-19
745/26/02/413/X,16104,2026-03-15,-14,-8,2026-03-07
142/25/07/925/XRM1,51657,2025-09-08,5,7,2025-09-15
040037/25/SBY,16109,2025-11-07,0,0,2025-11-07
045372/25/SBY,48083,2025-12-10,-4,-1,2025-12-09
047839/25/SBY,104236,2025-12-27,-3,0,2025-12-27
495/25/08/067/X,41769,2025-09-16,4,5,2025-09-21
186/26/01/478/X,94189,2026-03-09,-12,-3,2026-03-06
770/25/08/843/X,47170,2025-09-02,-1,-2,2025-08-31
899/25/10/515/VG,104,2026-01-27,-5,-6,2026-01-21
831/25/10/566/X,54692,2025-12-19,139,128,2026-04-26
035665/25/SBY,42357,2025-09-23,10,6,2025-09-29
507/25/10/122/X,5041,2025-11-23,-16,-15,2025-11-08
893/25/09/854/X,10740,2025-10-22,-12,-11,2025-10-11
892/26/01/481/X,67884,2026-02-24,-1,-3,2026-02-21
046847/25/SBY,77873,2025-12-25,1,0,2025-12-25
000266/25/BRU,47109,2025-10-27,4,3,2025-10-30
035659/25/SBYR1,42357,2025-09-25,1,8,2025-10-03
919/25/09/654/X,107834,2025-10-11,-4,-5,2025-10-06
341/25/08/307/XR1,104,2025-12-03,-7,-3,2025-11-30
266/25/08/222/X,42433,2025-09-16,3,3,2025-09-19
