Kode Cust,Jumlah_Invoice,Total_Payment,Proyeksi_Lama_Bayar_Minggu
104,3699,3146818637.5,14.73
42357,2840,1519494720.0,5.07
5041,1660,1405058857.55,4.58
33309,608,1101017583.75,2.8
12248,1804,776124593.825,6.14
3862,1573,707997173.75,3.88
51000,782,646329786.525,4.72
96461,572,611018091.25,2.85
10740,719,596218891.275,3.05
13184,1711,538651485.15,3.54
29786,459,478799750.0,5.97
52141,257,445759020.0,6.36
2614,377,388918843.775,5.41
12569,224,328659365.0,2.38
80283,133,279938082.5,4.54
52273,732,267874986.25,2.93
17172,1118,250844252.525,3.49
117,502,236041806.25,7.66
39706,115,231397875.0,7.25
48083,333,206812650.0,2.18
42559,801,203883980.0,6.05
52352,246,196201793.75,2.94
107221,49,189896725.025,7.49
52016,756,171613607.5,2.73
54692,530,171079000.0,27.82
11158,359,161074125.0,5.91
16622,508,160811978.775,1.85
44900,95,158835756.25,4.04
44644,315,157272262.5,3.39
108251,500,157050372.5,4.15
55933,115,149736187.5,3.91
12824,282,138518051.25,0.97
49118,291,134379876.25,2.95
26527,312,132259422.625,3.32
94909,268,130996728.75,6.63
203,56,130453582.5,3.25
77873,648,128598955.0,2.83
85577,199,119626716.25,0.65
45513,505,118125946.25,3.01
24378,276,113883813.75,2.38
32284,494,111731428.775,2.19
41769,339,110854513.75,2.88
43762,68,107720456.25,0.22
67884,611,107354705.0,2.52
18282,237,100175752.5,2.57
94189,325,97356832.5,5.53
87403,160,95985280.0,2.57
99010,279,95927721.25,3.38
50951,261,89587350.0,3.22
63149,38,88903860.0,0.66
104601,21,87152921.55,14.09
66321,538,85791726.3,3.13
14915,218,85458026.275,2.66
80175,162,84807277.5,0.2
67414,294,84358962.5,2.38
74416,284,81259686.25,2.76
51657,464,80717933.75,5.76
75931,350,79902403.775,1.17
121033,98,79442307.5,2.78
74014,131,78811292.5,2.67
24547,128,77990996.275,1.01
65037,249,77054715.2,3.69
54633,204,73568757.5,3.67
57901,48,70438671.25,1.5
78370,267,69376576.25,3.12
91234,304,68110097.5,2.98
15568,193,68047383.75,0.93
108576,66,64669512.5,6.85
25338,288,64630392.5,1.63
101762,170,61251070.025,2.69
50294,376,61199698.775,1.53
111731,172,61158837.5,5.52
62066,78,61125396.3,1.6
70202,135,60102050.0,1.18
34704,40,59459500.0,0.36
11217,128,58662000.0,3.55
91785,117,58280835.0,2.9
94141,106,58251775.0,5.21
50002,386,56395886.25,2.09
17247,253,55697392.5,4.24
94368,90,55524125.0,5.08
44051,58,55415570.0,0.98
109769,99,54723552.5,4.47
67953,153,54356198.75,2.59
4285,82,52762913.75,2.88
19315,106,51938395.0,1.88
97859,25,51476750.0,2.2
104655,73,51402120.0,3.33
50179,131,50400625.0,3.5
37348,209,50351321.3,2.56
81535,151,50073852.5,1.7
33171,70,49859626.25,2.24
15403,47,46418375.0,3.4
10724,102,46080215.0,4.75
30530,68,43326272.5,1.86
17448,14,43091375.0,4.3
66458,14,43090875.0,2.81
86992,10,40936927.5,1.64
100433,70,40500301.25,2.74
50710,52,40442000.0,3.18
54652,40,40430625.0,2.72
90,130,39812933.75,3.8
45079,270,38874755.0,2.2
112559,140,38518233.75,1.5
107834,41,38119246.25,1.74
69645,27,37057380.0,1.39
14557,112,37007587.5,1.9
65863,42,36086625.0,1.85
77325,68,35178636.25,1.94
73369,175,35159690.0,2.78
77327,50,34685910.0,1.99
107216,87,34451642.15,20.44
48346,101,34237598.75,2.81
45750,75,33668250.0,3.38
42433,78,33371486.25,3.28
40372,108,32812310.0,2.73
48352,125,32542137.5,2.84
106557,213,32245310.0,2.52
46861,181,32149250.0,5.13
122077,38,31846750.0,4.06
79700,192,31814787.5,3.24
103911,154,31635368.75,5.43
94353,36,31211781.25,0.7
51873,86,31166920.0,3.46
210,160,31128578.75,1.93
74023,23,30553251.25,1.57
1231,7,30038062.5,4.48
96578,30,29466202.5,1.0
110095,36,29314857.5,3.83
111717,207,28332750.0,0.86
90289,194,27978626.25,2.59
10859,103,26602786.25,2.3
