No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5
047579/25/SBY,265000.0,1,1,265000.0,265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
061/25/09/504/VZRM1,-25000.0,0,0,-25000.0,-25000.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
057/25/11/433/X,217625.0,2,2,25000.0,213240.6482895524,192625.0,4384.351710447612,0.0,0.0,0.0,0.0,0.0,0.0
048103/25/SBY,490000.0,1,3,490000.0,469513.46504445304,0.0,14816.056244103118,0.0,5670.478711443789,0.0,0.0,0.0,0.0
047652/25/SBY,158000.0,1,1,158000.0,158000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978/26/01/420/VZ,105125.0,1,2,105125.0,101350.30675927413,0.0,3774.693240725886,0.0,0.0,0.0,0.0,0.0,0.0
932/25/10/215/X,692625.0,1,1,692625.0,692625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001790/26/SBY,106750.0,1,1,106750.0,106750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707/26/02/204/X,1073875.0,1,1,1073875.0,1073875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564/25/09/730/X,20125.0,1,2,20125.0,19591.561223907862,0.0,533.4387760921394,0.0,0.0,0.0,0.0,0.0,0.0
041024/25/SBY,944000.0,1,1,944000.0,944000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002623/26/SBY,283943.0,1,1,283943.0,283943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531/25/08/421/XRM1,-12500.0,0,0,-12500.0,-12500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
638/25/11/447/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
227/25/10/177/VZ,442625.0,1,2,442625.0,391484.2539607023,0.0,51140.746039297774,0.0,0.0,0.0,0.0,0.0,0.0
037558/24/SBY,201250.0,1,1,201250.0,201250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661/25/11/404/VA,182625.0,1,1,182625.0,182625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124/25/11/322/VZ,357500.0,1,1,357500.0,357500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361/25/11/587/VZ,1062250.0,1,1,1062250.0,1062250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866/26/01/723/X,150125.0,2,2,40000.0,142123.0619692183,110125.0,8001.938030781677,0.0,0.0,0.0,0.0,0.0,0.0
033754/25/SBY,642750.0,1,1,642750.0,642750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
