No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
041406/24/SBY,119250.0,1,2,119250.0,112490.84855742473,0.0,6759.151442575275,0.0,0.0,0.0,0.0,0.0,0.0,6759.151442575272,5.67
224/25/12/709/X,1005125.0,1,2,1005125.0,904648.5626060397,0.0,0.0,0.0,100476.43739396034,0.0,0.0,0.0,0.0,100476.43739396032,10.0
025097/25/SBY,2500.0,1,1,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004827/26/SBY,100221.0,2,1,99250.0,100221.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0.97
775/25/12/902/VA,320125.0,1,1,320125.0,320125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140/25/11/076/X,116125.0,1,1,116125.0,116125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409/25/09/551/X,1130125.0,1,2,1130125.0,1093134.8955396337,0.0,36990.10446036636,0.0,0.0,0.0,0.0,0.0,0.0,36990.10446036633,3.27
785/25/12/333/X,1627625.0,2,2,977499.9999999999,1211986.8315862764,650125.0,415638.16841372376,0.0,0.0,0.0,0.0,0.0,0.0,234486.83158627638,14.41
255/25/09/031/X,818625.0,1,1,818625.0,818625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010/25/10/410/X,2572625.0,1,1,2572625.0,2572625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432/25/10/263/VA,45125.0,2,2,3500.0,40614.07354561942,41625.0,4510.926454380578,0.0,0.0,0.0,0.0,0.0,0.0,37114.07354561942,82.25
735/25/10/786/X,924125.0,1,1,924125.0,924125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724/25/09/633/VG,78875.0,1,1,78875.0,78875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040233/25/SBY,563250.0,1,1,563250.0,563250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433/25/09/715/X,142625.0,1,3,142625.0,127528.99861997356,0.0,12757.067392797157,0.0,2338.9339872292744,0.0,0.0,0.0,0.0,15096.001380026437,10.58
034352/25/SBY,131750.0,1,2,131750.0,129662.97260491508,0.0,2087.0273950849146,0.0,0.0,0.0,0.0,0.0,0.0,2087.0273950849187,1.58
029678/25/SBY,160500.0,1,1,160500.0,160500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
047845/25/SBY,940500.0,1,1,940500.0,940500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956/25/10/194/VA,62625.0,1,2,62625.0,58717.19457739514,0.0,3907.8054226048657,0.0,0.0,0.0,0.0,0.0,0.0,3907.8054226048644,6.24
978/25/10/813/X,35125.0,1,2,35125.0,33921.489352645156,0.0,1203.5106473548485,0.0,0.0,0.0,0.0,0.0,0.0,1203.5106473548462,3.43
343/25/11/064/X,255125.0,1,2,255125.0,247104.8586584326,0.0,8020.141341567413,0.0,0.0,0.0,0.0,0.0,0.0,8020.1413415674015,3.14
882/25/09/703/X,995375.0,1,2,995375.0,536935.239545244,0.0,458439.76045475586,0.0,0.0,0.0,0.0,0.0,0.0,458439.7604547559,46.06
033528/24/SBY,147500.0,1,1,147500.0,147500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509/25/11/744/X,530125.0,1,2,530125.0,521227.7755019506,0.0,8897.224498049396,0.0,0.0,0.0,0.0,0.0,0.0,8897.224498049405,1.68
661/25/10/137/X,1161625.0,1,1,1161625.0,1161625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035334/25/SBY,294250.0,1,1,294250.0,294250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039080/25/JKT,455750.0,1,1,455750.0,455750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951/25/09/281/X,4071625.0,1,1,4071625.0,4071625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360/25/08/728/VZ,368875.0,1,1,368875.0,368875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768/25/10/428/X,17625.0,1,2,17625.0,17085.90514465481,0.0,539.0948553451889,0.0,0.0,0.0,0.0,0.0,0.0,539.094855345189,3.06
332/25/10/003/VA,180125.0,1,2,180125.0,171808.72155451128,0.0,8316.278445488715,0.0,0.0,0.0,0.0,0.0,0.0,8316.278445488715,4.62
109/25/11/490/VA,197875.0,1,1,197875.0,197875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825/25/11/142/VX,412200.0,1,2,412200.0,405845.75932645786,0.0,6354.240673542146,0.0,0.0,0.0,0.0,0.0,0.0,6354.240673542143,1.54
377/25/11/690/VZ,223875.0,1,1,223875.0,223875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124/25/09/927/VFR1,125.0,1,1,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044399/25/SBY,223000.0,1,1,223000.0,223000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
033700/25/SBY,228000.0,1,1,228000.0,228000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501/25/11/362/X,67625.0,1,2,67625.0,62749.135658036255,0.0,4875.8643419637565,0.0,0.0,0.0,0.0,0.0,0.0,4875.86434196375,7.21
259/25/10/605/VF,827250.0,1,1,827250.0,827250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
082/25/09/657/X,60125.0,1,2,60125.0,56539.79247800376,0.0,3585.207521996245,0.0,0.0,0.0,0.0,0.0,0.0,3585.2075219962435,5.96
001946/25/BIT,15125.0,1,1,15125.0,15125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580/26/01/148/VZ,255125.0,1,2,255125.0,247104.8586584326,0.0,8020.141341567413,0.0,0.0,0.0,0.0,0.0,0.0,8020.1413415674015,3.14
770/25/10/389/X,42625.0,1,2,42625.0,40705.25237856917,0.0,1919.7476214308338,0.0,0.0,0.0,0.0,0.0,0.0,1919.7476214308335,4.5
683/25/09/967/VZ,217625.0,1,2,217625.0,210495.39718867332,0.0,7129.602811326682,0.0,0.0,0.0,0.0,0.0,0.0,7129.602811326681,3.28
221/26/01/859/XR1,140125.0,2,2,10000.0,133746.54412370626,130125.0,6378.455876293753,0.0,0.0,0.0,0.0,0.0,0.0,123746.54412370626,88.31
395/25/09/770/VA,220125.0,1,1,220125.0,220125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290/26/01/534/X,80125.0,1,2,80125.0,73903.03246561892,0.0,6221.967534381082,0.0,0.0,0.0,0.0,0.0,0.0,6221.967534381081,7.77
003380/25/MKS,156250.0,1,1,156250.0,156250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026543/25/SBY,199250.0,1,1,199250.0,199250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102/25/10/787/X,342125.0,1,1,342125.0,342125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268/25/10/530/X,80125.0,1,2,80125.0,73903.03246561892,0.0,6221.967534381082,0.0,0.0,0.0,0.0,0.0,0.0,6221.967534381081,7.77
212/25/09/083/X,167625.0,1,2,167625.0,158151.00174048668,0.0,9473.99825951331,0.0,0.0,0.0,0.0,0.0,0.0,9473.998259513315,5.65
714/25/09/940/X,30125.0,1,2,30125.0,28999.471138068755,0.0,1125.528861931246,0.0,0.0,0.0,0.0,0.0,0.0,1125.5288619312455,3.74
000314/25/TRK,88000.0,1,1,88000.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036666/25/SBY,243000.0,1,2,243000.0,226756.85862144383,0.0,16243.141378556187,0.0,0.0,0.0,0.0,0.0,0.0,16243.141378556182,6.68
407/25/11/752/VA,142625.0,1,3,142625.0,127528.99861997356,0.0,12757.067392797157,0.0,2338.9339872292744,0.0,0.0,0.0,0.0,15096.001380026437,10.58
307/25/10/954/X,217625.0,1,2,217625.0,210495.39718867332,0.0,7129.602811326682,0.0,0.0,0.0,0.0,0.0,0.0,7129.602811326681,3.28
016/25/10/697/LI,147875.0,1,1,147875.0,147875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374/25/09/432/X,30125.0,1,2,30125.0,28999.471138068755,0.0,1125.528861931246,0.0,0.0,0.0,0.0,0.0,0.0,1125.5288619312455,3.74
043686/25/JKT,220250.0,1,1,220250.0,220250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040487/25/SBY,1381063.0,1,1,1381063.0,1381063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148/25/10/222/VA,530875.0,1,1,530875.0,530875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458/25/09/513/X,7340625.0,1,1,7340625.0,7340625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039165/25/SBY,527000.0,1,1,527000.0,527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776/25/11/518/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
